recordID,datasetID,datasetName,dateStart,dateEnd,temporalSpan,temporalSpanOrigin,nr of traps,effort,effortUnit,latitude,longitude,latLonUnit,precisionInMeters, area ,areaUnit,areaOrigin,countryCode,stateProvince,locality,species latin,species english,presence,abundance,original units
1,6,A camera trapping study on the spatial distribution of terrestrial mammals within a human-dominated landscape in the Pacific lowlands of Costa Rica,16/11/2018,25/01/2019,70,C,5,400,camera trap days,8.726088,-83.180764,dec,,25.48,km2,M,Costa Rica,"Provincia de Puntarenas, lowlands of the Golfo Dulce Bioregion",Biological Corridor La Gamba,Nasua narica,White-nosed coati,1,19,NOIR
2,6,A camera trapping study on the spatial distribution of terrestrial mammals within a human-dominated landscape in the Pacific lowlands of Costa Rica,16/11/2018,25/01/2019,70,C,5,400,camera trap days,8.726088,-83.180764,dec,,25.48,km2,M,Costa Rica,"Provincia de Puntarenas, lowlands of the Golfo Dulce Bioregion",Biological Corridor La Gamba,Canis latrans,Coyote,1,3,NOIR
3,6,A camera trapping study on the spatial distribution of terrestrial mammals within a human-dominated landscape in the Pacific lowlands of Costa Rica,16/11/2018,25/01/2019,70,C,5,400,camera trap days,8.726088,-83.180764,dec,,25.48,km2,M,Costa Rica,"Provincia de Puntarenas, lowlands of the Golfo Dulce Bioregion",Biological Corridor La Gamba,Procyon cancrivorus,Crab-eating raccoon,1,1,NOIR
4,6,A camera trapping study on the spatial distribution of terrestrial mammals within a human-dominated landscape in the Pacific lowlands of Costa Rica,16/11/2018,25/01/2019,70,C,5,400,camera trap days,8.726088,-83.180764,dec,,25.48,km2,M,Costa Rica,"Provincia de Puntarenas, lowlands of the Golfo Dulce Bioregion",Biological Corridor La Gamba,Herpailurus yagouaroundi,Jaguarundi,1,2,NOIR
5,6,A camera trapping study on the spatial distribution of terrestrial mammals within a human-dominated landscape in the Pacific lowlands of Costa Rica,16/11/2018,25/01/2019,70,C,5,400,camera trap days,8.726088,-83.180764,dec,,25.48,km2,M,Costa Rica,"Provincia de Puntarenas, lowlands of the Golfo Dulce Bioregion",Biological Corridor La Gamba,Potos flavus,Kinkajou,1,1,NOIR
6,6,A camera trapping study on the spatial distribution of terrestrial mammals within a human-dominated landscape in the Pacific lowlands of Costa Rica,16/11/2018,25/01/2019,70,C,5,400,camera trap days,8.726088,-83.180764,dec,,25.48,km2,M,Costa Rica,"Provincia de Puntarenas, lowlands of the Golfo Dulce Bioregion",Biological Corridor La Gamba,Procyon lotor,Raccoon,1,107,NOIR
7,6,A camera trapping study on the spatial distribution of terrestrial mammals within a human-dominated landscape in the Pacific lowlands of Costa Rica,16/11/2018,25/01/2019,70,C,5,400,camera trap days,8.726088,-83.180764,dec,,25.48,km2,M,Costa Rica,"Provincia de Puntarenas, lowlands of the Golfo Dulce Bioregion",Biological Corridor La Gamba,Leopardus pardalis,Ocelot,1,5,NOIR
8,6,A camera trapping study on the spatial distribution of terrestrial mammals within a human-dominated landscape in the Pacific lowlands of Costa Rica,16/11/2018,25/01/2019,70,C,5,400,camera trap days,8.726088,-83.180764,dec,,25.48,km2,M,Costa Rica,"Provincia de Puntarenas, lowlands of the Golfo Dulce Bioregion",Biological Corridor La Gamba,Conepatus semistriatus,Striped hog-nosed skunk,1,4,NOIR
9,6,A camera trapping study on the spatial distribution of terrestrial mammals within a human-dominated landscape in the Pacific lowlands of Costa Rica,16/11/2018,25/01/2019,70,C,5,400,camera trap days,8.726088,-83.180764,dec,,25.48,km2,M,Costa Rica,"Provincia de Puntarenas, lowlands of the Golfo Dulce Bioregion",Biological Corridor La Gamba,Eira barbara,Tayra,1,13,NOIR
10,31,A camera trapping survey of mammals in the mixed landscape of Bolivia´s Chiquitano region with a special focus on the Jaguar,01/03/2017,01/10/2017,214,C,26,"1,762",camera trap days,-16.365242,-62.015502,dec,,450,ha,G,Bolivia,Province of Ñuflo de Chávez,San Sebastián cattle ranch,Cerdocyon thous,Crab-eating fox,1,34,NOIR
11,31,A camera trapping survey of mammals in the mixed landscape of Bolivia´s Chiquitano region with a special focus on the Jaguar,01/03/2017,01/10/2017,214,C,26,"1,762",camera trap days,-16.365242,-62.015502,dec,,450,ha,G,Bolivia,Province of Ñuflo de Chávez,San Sebastián cattle ranch,Herpailurus yagouaroundi,Jaguarundi,1,7,NOIR
12,31,A camera trapping survey of mammals in the mixed landscape of Bolivia´s Chiquitano region with a special focus on the Jaguar,01/03/2017,01/10/2017,214,C,26,"1,762",camera trap days,-16.365242,-62.015502,dec,,450,ha,G,Bolivia,Province of Ñuflo de Chávez,San Sebastián cattle ranch,Leopardus pardalis,Ocelot,1,30,NOIR
13,31,A camera trapping survey of mammals in the mixed landscape of Bolivia´s Chiquitano region with a special focus on the Jaguar,01/03/2017,01/10/2017,214,C,26,"1,762",camera trap days,-16.365242,-62.015502,dec,,450,ha,G,Bolivia,Province of Ñuflo de Chávez,San Sebastián cattle ranch,Leopardus wiedii,Margay,1,4,NOIR
14,31,A camera trapping survey of mammals in the mixed landscape of Bolivia´s Chiquitano region with a special focus on the Jaguar,01/03/2017,01/10/2017,214,C,26,"1,762",camera trap days,-16.365242,-62.015502,dec,,450,ha,G,Bolivia,Province of Ñuflo de Chávez,San Sebastián cattle ranch,Puma concolor,Puma,1,13,NOIR
15,31,A camera trapping survey of mammals in the mixed landscape of Bolivia´s Chiquitano region with a special focus on the Jaguar,01/03/2017,01/10/2017,214,C,26,"1,762",camera trap days,-16.365242,-62.015502,dec,,450,ha,G,Bolivia,Province of Ñuflo de Chávez,San Sebastián cattle ranch,Panthera onca,Jaguar,1,137,NOIR
16,31,A camera trapping survey of mammals in the mixed landscape of Bolivia´s Chiquitano region with a special focus on the Jaguar,01/03/2017,01/10/2017,214,C,26,"1,762",camera trap days,-16.365242,-62.015502,dec,,450,ha,G,Bolivia,Province of Ñuflo de Chávez,San Sebastián cattle ranch,Lontra longicaudis,Neotropical river otter,1,3,NOIR
17,31,A camera trapping survey of mammals in the mixed landscape of Bolivia´s Chiquitano region with a special focus on the Jaguar,01/03/2017,01/10/2017,214,C,26,"1,762",camera trap days,-16.365242,-62.015502,dec,,450,ha,G,Bolivia,Province of Ñuflo de Chávez,San Sebastián cattle ranch,Eira barbara,Tayra,1,21,NOIR
18,31,A camera trapping survey of mammals in the mixed landscape of Bolivia´s Chiquitano region with a special focus on the Jaguar,01/03/2017,01/10/2017,214,C,26,"1,762",camera trap days,-16.365242,-62.015502,dec,,450,ha,G,Bolivia,Province of Ñuflo de Chávez,San Sebastián cattle ranch,Nasua nasua,South American coati,1,39,NOIR
19,108,"An updated species list of medium and large-sized mammals of The Augusto Ruschi Biological Reserve, using a novel sampling design",01/09/2016,01/12/2016,92,G,13,"1,196",camera trap days,-19.888074,-40.549983,dec,,"3,598.00",ha,G,Brazil,"Espírito Santo State, municipality of Santa Teresa",Augusto Ruschi Biological Reserve,Cerdocyon thous,Crab-eating fox,1,,PO
20,108,"An updated species list of medium and large-sized mammals of The Augusto Ruschi Biological Reserve, using a novel sampling design",01/09/2016,01/12/2016,92,G,13,"1,196",camera trap days,-19.888074,-40.549983,dec,,"3,598.00",ha,G,Brazil,"Espírito Santo State, municipality of Santa Teresa",Augusto Ruschi Biological Reserve,Leopardus guttulus,Southern tigrina,1,,PO
21,108,"An updated species list of medium and large-sized mammals of The Augusto Ruschi Biological Reserve, using a novel sampling design",01/09/2016,01/12/2016,92,G,13,"1,196",camera trap days,-19.888074,-40.549983,dec,,"3,598.00",ha,G,Brazil,"Espírito Santo State, municipality of Santa Teresa",Augusto Ruschi Biological Reserve,Leopardus pardalis,Ocelot,1,,PO
22,108,"An updated species list of medium and large-sized mammals of The Augusto Ruschi Biological Reserve, using a novel sampling design",01/09/2016,01/12/2016,92,G,13,"1,196",camera trap days,-19.888074,-40.549983,dec,,"3,598.00",ha,G,Brazil,"Espírito Santo State, municipality of Santa Teresa",Augusto Ruschi Biological Reserve,Puma concolor,Puma,1,,PO
23,108,"An updated species list of medium and large-sized mammals of The Augusto Ruschi Biological Reserve, using a novel sampling design",01/09/2016,01/12/2016,92,G,13,"1,196",camera trap days,-19.888074,-40.549983,dec,,"3,598.00",ha,G,Brazil,"Espírito Santo State, municipality of Santa Teresa",Augusto Ruschi Biological Reserve,Herpailurus yagouaroundi,Jaguarundi,1,,PO
24,108,"An updated species list of medium and large-sized mammals of The Augusto Ruschi Biological Reserve, using a novel sampling design",01/09/2016,01/12/2016,92,G,13,"1,196",camera trap days,-19.888074,-40.549983,dec,,"3,598.00",ha,G,Brazil,"Espírito Santo State, municipality of Santa Teresa",Augusto Ruschi Biological Reserve,Eira barbara,Tayra,1,,PO
25,108,"An updated species list of medium and large-sized mammals of The Augusto Ruschi Biological Reserve, using a novel sampling design",01/09/2016,01/12/2016,92,G,13,"1,196",camera trap days,-19.888074,-40.549983,dec,,"3,598.00",ha,G,Brazil,"Espírito Santo State, municipality of Santa Teresa",Augusto Ruschi Biological Reserve,Nasua nasua,South American coati,1,,PO
26,108,"An updated species list of medium and large-sized mammals of The Augusto Ruschi Biological Reserve, using a novel sampling design",01/09/2016,01/12/2016,92,G,13,"1,196",camera trap days,-19.888074,-40.549983,dec,,"3,598.00",ha,G,Brazil,"Espírito Santo State, municipality of Santa Teresa",Augusto Ruschi Biological Reserve,Procyon cancrivorus,Crab-eating raccoon,1,,PO
27,142,Buffer zone use by mammals in a Cerrado protected area,01/04/2013,01/09/2013,153,C,18,"3,150",camera trap days,-21.599636,-47.766685,dec,,216.72,km2,M,Brazil,Sao Paulo state,Jataí Ecological Station and Luiz Antonio Experimental Station with buffer zone,Cerdocyon thous,Crab-eating fox,1,133,NOIR
28,142,Buffer zone use by mammals in a Cerrado protected area,01/04/2013,01/09/2013,153,C,18,"3,150",camera trap days,-21.599636,-47.766685,dec,,216.72,km2,M,Brazil,Sao Paulo state,Jataí Ecological Station and Luiz Antonio Experimental Station with buffer zone,Chrysocyon brachyurus,Maned wolf,1,88,NOIR
